,userid,version,sum_gamerounds,retention_1,retention_7
0,116,gate_30,3,False,False
1,337,gate_30,38,True,False
2,377,gate_40,165,True,False
3,483,gate_40,1,False,False
4,488,gate_40,179,True,True
5,540,gate_40,187,True,True
6,1066,gate_30,0,False,False
7,1444,gate_40,2,False,False
8,1574,gate_40,108,True,True
9,1587,gate_40,153,True,False
10,1842,gate_40,3,False,True
11,2101,gate_30,0,False,False
12,2132,gate_40,30,True,False
13,2179,gate_30,39,True,False
14,2218,gate_30,305,True,True
15,2382,gate_30,73,True,False
16,2392,gate_30,14,True,False
17,2451,gate_30,204,True,True
18,2482,gate_30,108,True,True
19,2502,gate_40,1,False,False
20,2530,gate_40,9,True,False
21,2534,gate_30,5,True,False
22,2695,gate_40,45,True,False
23,2729,gate_30,105,False,True
24,2829,gate_30,4,False,False
25,2963,gate_30,3,False,False
26,3095,gate_30,0,False,False
27,3132,gate_40,80,True,True
28,3186,gate_40,4,False,False
29,3199,gate_30,5,False,False
30,3204,gate_40,53,True,True
31,3413,gate_30,37,True,False
32,3690,gate_30,13,True,False
33,3696,gate_30,50,False,False
34,3993,gate_40,202,True,True
35,4076,gate_40,0,False,False
36,4162,gate_30,23,False,False
37,4176,gate_30,0,False,False
38,4283,gate_30,103,False,False
39,4594,gate_30,27,False,False
40,4653,gate_40,15,False,False
41,4881,gate_30,0,False,False
42,4902,gate_40,1,False,False
43,4916,gate_40,49,True,False
44,4918,gate_30,7,False,False
45,4929,gate_30,386,True,True
46,4945,gate_40,25,True,False
47,5066,gate_30,1,False,False
48,5215,gate_30,13,True,False
49,5286,gate_30,12,True,False
50,5345,gate_40,6,False,False
51,5479,gate_30,25,True,False
52,5550,gate_30,29,True,False
53,5661,gate_30,136,True,False
54,5712,gate_30,105,True,True
55,5920,gate_40,10,True,False
56,5943,gate_40,76,False,False
57,6099,gate_40,138,False,False
58,6123,gate_30,0,False,False
59,6151,gate_30,94,True,True
60,6156,gate_40,1,False,False
61,6492,gate_30,0,False,False
62,6664,gate_40,26,True,False
63,6695,gate_40,127,True,False
64,6833,gate_40,6,False,False
65,6842,gate_40,4,False,False
66,6924,gate_30,21,False,False
67,6930,gate_40,297,True,True
68,7124,gate_40,108,True,True
69,7253,gate_30,45,True,False
70,7321,gate_40,33,False,False
71,7509,gate_40,0,False,False
72,7527,gate_30,80,False,False
73,7564,gate_30,21,False,False
74,7582,gate_40,3,False,False
75,7767,gate_30,139,True,True
76,7866,gate_30,14,False,False
77,8063,gate_30,50,True,False
78,8254,gate_40,14,False,False
79,8256,gate_40,14,False,False
80,8288,gate_30,9,False,False
81,8317,gate_40,3,False,False
82,8379,gate_30,0,False,False
83,8464,gate_30,10,False,False
84,8465,gate_40,4,False,False
85,8494,gate_30,5,True,False
86,8644,gate_30,2,False,False
87,8679,gate_30,0,False,False
88,8692,gate_30,3,True,False
89,8753,gate_40,10,True,False
90,8788,gate_30,19,False,True
91,8801,gate_40,0,False,False
92,8885,gate_40,5,False,False
93,9001,gate_40,16,True,False
94,9308,gate_40,95,True,False
95,9443,gate_40,3,False,False
96,9589,gate_30,8,False,False
97,9699,gate_40,8,False,False
98,9828,gate_40,1,False,False
99,9831,gate_40,3,False,False
100,9849,gate_40,1,False,False
101,10112,gate_30,6,False,False
102,10200,gate_40,106,False,True
103,10218,gate_30,22,True,False
104,10276,gate_40,1,False,False
105,10336,gate_30,11,False,False
106,10476,gate_40,4,False,False
107,10533,gate_40,21,False,False
108,10598,gate_40,8,False,False
109,10636,gate_30,246,True,True
110,10637,gate_40,0,False,False
111,10676,gate_40,6,False,False
112,10756,gate_30,16,False,False
113,10884,gate_40,49,True,False
114,11093,gate_40,54,True,True
115,11127,gate_30,66,True,True
116,11297,gate_30,0,False,False
117,11411,gate_30,122,True,True
118,11420,gate_30,75,True,False
119,11599,gate_30,3,False,False
120,11675,gate_40,17,False,False
121,11747,gate_30,1,True,False
122,11840,gate_30,24,False,False
123,11886,gate_30,3,False,False
124,12053,gate_30,11,True,False
125,12067,gate_40,7,False,False
126,12163,gate_30,47,True,False
127,12393,gate_40,1,False,False
128,12461,gate_40,4,False,False
129,12523,gate_30,31,True,False
130,12558,gate_30,13,False,False
131,12574,gate_30,22,True,False
132,12749,gate_30,6,True,False
133,12905,gate_40,1,False,False
134,12951,gate_40,2,False,False
135,12967,gate_30,24,True,False
136,12979,gate_30,6,False,False
137,13133,gate_40,6,False,False
138,13216,gate_30,24,True,False
139,13228,gate_40,9,False,False
140,13320,gate_40,34,False,False
141,13321,gate_40,56,False,False
142,13376,gate_40,12,True,False
143,13429,gate_30,60,False,True
144,13494,gate_40,10,True,False
145,13633,gate_30,67,False,False
146,13664,gate_30,42,True,True
147,13721,gate_40,65,True,False
148,13758,gate_30,1,False,False
149,13806,gate_30,4,False,False
150,13856,gate_30,3,False,False
151,13872,gate_30,1,False,False
152,13893,gate_40,14,False,False
153,13969,gate_40,42,False,False
154,14143,gate_30,13,False,False
155,14218,gate_30,129,False,True
156,14290,gate_40,6,True,False
157,14296,gate_30,37,False,False
158,14381,gate_40,9,False,False
159,14592,gate_30,1,False,False
160,14644,gate_40,2,False,False
161,14834,gate_30,27,False,False
162,15157,gate_40,38,False,False
163,15173,gate_30,8,False,False
164,15294,gate_30,51,True,True
165,15489,gate_30,5,False,False
166,15597,gate_40,2,False,False
167,15962,gate_30,0,False,False
168,15970,gate_40,16,True,False
169,16096,gate_40,0,False,False
170,16145,gate_40,7,False,False
171,16180,gate_30,5,False,False
172,16224,gate_40,0,False,False
173,16454,gate_40,11,False,False
174,16504,gate_40,0,False,False
175,16506,gate_30,4,True,False
176,16638,gate_40,51,True,False
177,16696,gate_40,5,False,False
178,17085,gate_40,33,False,False
179,17167,gate_30,21,False,False
180,17270,gate_30,49,True,False
181,17422,gate_40,2,False,False
182,17461,gate_30,1,False,False
183,17477,gate_30,46,True,True
184,17506,gate_40,127,True,True
185,17554,gate_30,1,False,False
186,17814,gate_30,14,False,False
187,17903,gate_40,17,False,False
188,17947,gate_30,104,True,True
189,17995,gate_30,6,False,False
190,18013,gate_40,21,True,False
191,18213,gate_40,36,True,False
192,18235,gate_30,8,False,False
193,18374,gate_40,53,True,False
194,18731,gate_30,1,False,False
195,18756,gate_30,38,True,True
196,18778,gate_30,13,False,False
197,18827,gate_30,20,True,False
198,18849,gate_40,74,True,True
199,18993,gate_40,25,True,False
200,19077,gate_30,11,False,False
201,19091,gate_40,1,False,False
202,19474,gate_40,2,False,False
203,19490,gate_30,72,True,False
204,19529,gate_40,22,False,False
205,19537,gate_40,2,False,False
206,19593,gate_40,18,False,False
207,19673,gate_40,4,False,False
208,19721,gate_40,18,False,False
